title,line_text
FIVE A.M. IN THE PINEWOODS,I was thinking:
FIVE A.M. IN THE PINEWOODS,"so this is how you swim inward,"
FIVE A.M. IN THE PINEWOODS,"so this is how you flow outward,"
FIVE A.M. IN THE PINEWOODS,so this is how you pray.
FLARE,"Welcome to the silly, comforting poem."
FLARE,"It is not the sunrise,"
FLARE,"which is a red rinse,"
FLARE,which is flaring all over the eastern sky;
FLARE,it is not the rain falling out of the purse of God;
FLARE,"it is not the blue helmet of the sky afterward,"
FLARE,"or the trees, or the beetle burrowing into the earth;"
FLARE,"it is not the mockingbird who, in his own cadence,"
FLARE,will go on sizzling and clapping
FLARE,"from the branches of the catalpa that are thick with blossoms,"
FLARE,"that are billowing and shining,"
FLARE,that are shaking in the wind.
FOX,You don’t ever know where
FOX,"a sentence will take you, depending"
FOX,on its roll and fold. I was walking
FOX,over the dunes when I saw
FOX,the red fox asleep under the green
FOX,branches of the pine. It flared up
FOX,"in the sweet order of its being,"
FOX,the tail that was over the muzzle
FOX,lifting in airy amazement
FOX,and the fire of the eyes followed
FOX,and the pricked ears and the thin
FOX,barrel body and the four
FOX,athletic legs in their black stockings and it
FOX,came to me how the polish of the world changes
FOX,"everything, I was hot I was cold I was almost"
FOX,dead of delight. Of course the mind keeps
FOX,"cool in its hidden palace—yes, the mind takes"
FOX,"a long time, is otherwise occupied than by"
FOX,"happiness, and deep breathing. Still,"
FOX,"at last, it comes too, running"
FOX,"like a wild thing, to be taken"
FOX,"with its twin sister, breath. So I stood"
FOX,"on the pale, peach-colored sand, watching the fox"
FOX,"as it opened like a flower, and I began"
FOX,"softly, to pick among the vast assortment of words"
FOX,that it should run again and again across the page
FOX,that you again and again should shiver with praise.
"FROM THIS RIVER, WHEN I WAS A CHILD, I USED TO DRINK",But when I came back I found
"FROM THIS RIVER, WHEN I WAS A CHILD, I USED TO DRINK",that the body of the river was dying.
"FROM THIS RIVER, WHEN I WAS A CHILD, I USED TO DRINK",Did it speak?
"FROM THIS RIVER, WHEN I WAS A CHILD, I USED TO DRINK","Yes, it sang out the old songs, but faintly."
"FROM THIS RIVER, WHEN I WAS A CHILD, I USED TO DRINK",What will you do?
"FROM THIS RIVER, WHEN I WAS A CHILD, I USED TO DRINK","I will grieve of course, but that’s nothing."
"FROM THIS RIVER, WHEN I WAS A CHILD, I USED TO DRINK","What, precisely, will you grieve for?"
"FROM THIS RIVER, WHEN I WAS A CHILD, I USED TO DRINK","For the river. For myself, my lost"
"FROM THIS RIVER, WHEN I WAS A CHILD, I USED TO DRINK",joyfulness. For the children who will not
"FROM THIS RIVER, WHEN I WAS A CHILD, I USED TO DRINK","know what a river can be—a friend, a"
"FROM THIS RIVER, WHEN I WAS A CHILD, I USED TO DRINK","companion, a hint of heaven."
"FROM THIS RIVER, WHEN I WAS A CHILD, I USED TO DRINK",Isn’t this somewhat overplayed?
"FROM THIS RIVER, WHEN I WAS A CHILD, I USED TO DRINK",I said: it can be a friend. A companion. A
"FROM THIS RIVER, WHEN I WAS A CHILD, I USED TO DRINK",hint of heaven.
GETHSEMANE,The grass never sleeps.
GETHSEMANE,Or the roses.
GETHSEMANE,Nor does the lily have a secret eye that shuts until morning.
GETHSEMANE,"Jesus said, wait with me. But the disciples slept."
GETHSEMANE,"The cricket has such splendid fringe on its feet,"
GETHSEMANE,"and it sings, have you noticed, with its whole body,"
GETHSEMANE,and heaven knows if it ever sleeps.
GETHSEMANE,"Jesus said, wait with me. And maybe the stars did, maybe"
GETHSEMANE,"the wind wound itself into a silver tree, and didn’t move,"
GETHSEMANE,maybe
GETHSEMANE,"the lake far away, where once he walked as on a"
GETHSEMANE,"blue pavement,"
GETHSEMANE,"lay still and waited, wild awake."
GETHSEMANE,"Oh the dear bodies, slumped and eye-shut, that could not"
GETHSEMANE,"keep that vigil, how they must have wept,"
GETHSEMANE,"so utterly human, knowing this too"
GETHSEMANE,must be a part of the story
GHOSTS,Where so many millions of powerful bawling beasts
GHOSTS,lay down on the earth and died
GHOSTS,it’s hard to tell now
GHOSTS,"what’s bone, and what merely"
GHOSTS,was once.
GHOSTS,"The golden eagle, for instance,"
GHOSTS,has a bit of heaviness in him;
GHOSTS,moreover the huge barns
GHOSTS,"seem ready, sometimes, to ramble off"
GHOSTS,toward deeper grass.
GOING TO WALDEN,It isn’t very far as highways lie.
GOING TO WALDEN,"I might be back by nightfall, having seen"
GOING TO WALDEN,"The rough pines, and the stones, and the clear water."
GOING TO WALDEN,Friends argue that I might be wiser for it.
GOING TO WALDEN,They do not hear that far-off Yankee whisper:
GOING TO WALDEN,How dull we grow from hurrying here and there!
GOING TO WALDEN,"Many have gone, and think me half a fool"
GOING TO WALDEN,To miss a day away in the cool country.
GOING TO WALDEN,"Maybe. But in a book I read and cherish,"
GOING TO WALDEN,Going to Walden is not so easy a thing
GOING TO WALDEN,As a green visit. It is the slow and difficult
GOING TO WALDEN,"Trick of living, and finding it where you are."
GOLDENROD,"On roadsides,"
GOLDENROD,"in fall fields,"
GOLDENROD,"in rumpy bunches,"
GOLDENROD,"saffron and orange and pale gold,"
GOLDENROD,"in little towers,"
GOLDENROD,"soft as mash,"
GOLDENROD,"sneeze-bringers and seed-bearers,"
GOLDENROD,full of bees and yellow beads and perfect flowerlets
GOLDENROD,and orange butterflies.
GOLDENROD,I don’t suppose
GOLDENROD,"much notice comes of it, except for honey,"
GOLDENROD,and how it heartens the heart with its
GOLDENROD,blank blaze.
GOLDENROD,"I don’t suppose anything loves it except, perhaps,"
GOLDENROD,the rocky voids
GOLDENROD,filled by its dumb dazzle.
GOLDENROD,"For myself,"
GOLDENROD,"I was just passing by, when the wind flared"
GOLDENROD,"and the blossoms rustled,"
GOLDENROD,and the glittering pandemonium
GOLDENROD,leaned on me.
GOLDENROD,I was just minding my own business
GOLDENROD,"when I found myself on their straw hillsides,"
GOLDENROD,"citron and butter-colored,"
GOLDENROD,"and was happy, and why not?"
GOLDENROD,Are not the difficult labors of our lives
GOLDENROD,full of dark hours?
GOLDENROD,"And what has consciousness come to anyway, so far,"
GOLDENROD,that is better than these light-filled bodies?
GOLDENROD,All day
GOLDENROD,on their airy backbones
GOLDENROD,"they toss in the wind,"
GOLDENROD,"they bend as though it was natural and godly to bend,"
GOLDENROD,"they rise in a stiff sweetness,"
GOLDENROD,in the pure peace of giving
GOLDENROD,one’s gold away.
"GOLDENROD, LATE FALL",This morning the goldenrod are all wearing
"GOLDENROD, LATE FALL",their golden shirts
"GOLDENROD, LATE FALL",fresh from heaven’s soft wash in the chill night.
"GOLDENROD, LATE FALL",So it must be a celebration.
"GOLDENROD, LATE FALL","And here comes the wind, so many swinging wings!"
"GOLDENROD, LATE FALL","Has he been invited, or is he the intruder?"
"GOLDENROD, LATE FALL","Invited, whisper the golden pebbles of the weeds,"
"GOLDENROD, LATE FALL",as they begin to fall
"GOLDENROD, LATE FALL","over the ground. Well, you would think the little murmurs"
"GOLDENROD, LATE FALL",of the broken blossoms would have said
"GOLDENROD, LATE FALL","otherwise, but no. So I sit down among them to"
"GOLDENROD, LATE FALL",think about it while all around me the crumbling
"GOLDENROD, LATE FALL",goes on. The weeds let down their seedy faces
"GOLDENROD, LATE FALL","cheerfully, which is the part I like best, and certainly"
"GOLDENROD, LATE FALL",it is as good as a book for learning from. You would think
"GOLDENROD, LATE FALL",they were just going for a small sleep. You would think
"GOLDENROD, LATE FALL","they couldn’t wait, it was going to be"
"GOLDENROD, LATE FALL","that snug and even, as all their lives were, full of"
"GOLDENROD, LATE FALL",excitation. You would think
"GOLDENROD, LATE FALL","it was a voyage just beginning, and no darkness anywhere,"
"GOLDENROD, LATE FALL","but tinged with all necessary instruction, and light,"
"GOLDENROD, LATE FALL","and all were shriven, as all the round world is,"
"GOLDENROD, LATE FALL","and so it wasn’t anything but easy to fall, to whisper"
"GOLDENROD, LATE FALL",Good Night.
HONEY LOCUST,Who can tell how lovely in June is the
HONEY LOCUST,"honey locust tree, or why"
HONEY LOCUST,a tree should be so sweet and live
HONEY LOCUST,in this world? Each white blossom
HONEY LOCUST,on a dangle of white flowers holds one green seed—
HONEY LOCUST,a new life. Also each blossom on a dangle of flowers
HONEY LOCUST,holds a flask
HONEY LOCUST,"of fragrance called Heaven, which is never sealed."
HONEY LOCUST,The bees circle the tree and dive into it. They are crazy
HONEY LOCUST,with gratitude. They are working like farmers. They are as
HONEY LOCUST,happy as saints. After a while the flowers begin to
HONEY LOCUST,wilt and drop down into the grass. Welcome
HONEY LOCUST,shines in the grass.
HONEY LOCUST,Every year I gather
HONEY LOCUST,handfuls of blossoms and eat of their mealiness; the honey
HONEY LOCUST,"melts in my mouth, the seeds make me strong,"
HONEY LOCUST,"both when they are crisp and ripe, and even at the end"
HONEY LOCUST,when their petals have turned dull yellow.
HONEY LOCUST,So it is
HONEY LOCUST,"if the heart has devoted itself to love, there is"
HONEY LOCUST,not a single inch of emptiness. Gladness gleams
HONEY LOCUST,all the way to the grave.
HOW WOULD YOU LIVE THEN?,What if a hundred rose-breasted grosbeaks
HOW WOULD YOU LIVE THEN?,flew in circles around your head? What if
HOW WOULD YOU LIVE THEN?,the mockingbird came into the house with you and
HOW WOULD YOU LIVE THEN?,became your advisor? What if
HOW WOULD YOU LIVE THEN?,the bees filled your walls with honey and all
HOW WOULD YOU LIVE THEN?,you needed to do was ask them and they would fill
HOW WOULD YOU LIVE THEN?,the bowl? What if the brook slid downhill just
HOW WOULD YOU LIVE THEN?,past your bedroom window so you could listen
HOW WOULD YOU LIVE THEN?,to its slow prayers as you fell asleep? What if
HOW WOULD YOU LIVE THEN?,"the stars began to shout their names, or to run"
HOW WOULD YOU LIVE THEN?,this way and that way above the clouds? What if
HOW WOULD YOU LIVE THEN?,"you painted a picture of a tree, and the leaves"
HOW WOULD YOU LIVE THEN?,"began to rustle, and a bird cheerfully sang"
HOW WOULD YOU LIVE THEN?,from its painted branches? What if you suddenly saw
HOW WOULD YOU LIVE THEN?,that the silver of water was brighter than the silver
HOW WOULD YOU LIVE THEN?,of money? What if you finally saw
HOW WOULD YOU LIVE THEN?,"that the sunflowers, turning toward the sun all day"
HOW WOULD YOU LIVE THEN?,"and every day—who knows how, but they do it—were"
HOW WOULD YOU LIVE THEN?,"more precious, more meaningful than gold?"
HUM,What is this dark hum among the roses?
HUM,"The bees have gone simple, sipping,"
HUM,that’s all. What did you expect? Sophistication?
HUM,They’re small creatures and they are
HUM,"filling their bodies with sweetness, how could they not"
HUM,moan in happiness? The little
HUM,"worker bee lives, I have read, about three weeks."
HUM,"Is that long? Long enough, I suppose, to understand"
HUM,that life is a blessing. I have found them—haven’t you?—
HUM,"stopped in the very cups of the flowers, their wings"
HUM,"a little tattered—so much flying about, to the hive,"
HUM,"then out into the world, then back, and perhaps dancing,"
HUM,"should the task be to be a scout—sweet, dancing bee."
HUM,I think there isn’t anything in this world I don’t
HUM,"admire. If there is, I don’t know what it is. I"
HUM,"haven’t met it yet. Nor expect to. The bee is small,"
HUM,"and since I wear glasses, so I can see the traffic and"
HUM,"read books, I have to"
HUM,take them off and bend close to study and
HUM,"understand what is happening. It’s not hard, it’s in fact"
HUM,"as instructive as anything I have ever studied. Plus, too,"
HUM,"it’s love almost too fierce to endure, the bee"
HUM,nuzzling like that into the blouse
HUM,"of the rose. And the fragrance, and the honey, and of course"
HUM,"the sun, the purely pure sun, shining, all the while, over"
HUM,all of us.
I GO DOWN TO THE SHORE,I go down to the shore in the morning
I GO DOWN TO THE SHORE,and depending on the hour the waves
I GO DOWN TO THE SHORE,"are rolling in or moving out,"
I GO DOWN TO THE SHORE,"and I say, oh, I am miserable,"
I GO DOWN TO THE SHORE,what shall—
I GO DOWN TO THE SHORE,what should I do? And the sea says
I GO DOWN TO THE SHORE,in its lovely voice:
I GO DOWN TO THE SHORE,"Excuse me, I have work to do."
I WAKE CLOSE TO MORNING,Why do people keep asking to see
I WAKE CLOSE TO MORNING,God’s identity papers
I WAKE CLOSE TO MORNING,when the darkness opening into morning
I WAKE CLOSE TO MORNING,is more than enough?
I WAKE CLOSE TO MORNING,Certainly any god might turn away in disgust.
I WAKE CLOSE TO MORNING,Think of Sheba approaching
I WAKE CLOSE TO MORNING,the kingdom of Solomon.
I WAKE CLOSE TO MORNING,"Do you think she had to ask,"
I WAKE CLOSE TO MORNING,Is this the place?
JACK,The wagons stand
JACK,"And rust, and glitter sometimes in the moon,"
JACK,Since we have lost dominion of the fields.
JACK,"No more great clattering Jack,"
JACK,"His thick mane filled with chaff and wind,"
JACK,Will let us lead him from the easy barns;
JACK,No more sweet gentle Jack
JACK,Will let us strap him to his leather bondage
JACK,And help us tow the weight of summer home.
JACK,The days
JACK,"Are easier now, and we have time for thought,"
JACK,Idling in corners of our weedy land.
JACK,"But now we learn, as season follows season"
JACK,"And no one plants upon these hills,"
JACK,How poor a gift is freedom to the spirit
JACK,"That loved the labor. Now, like Jack,"
JACK,"We stand turned out into eternal Sunday,"
JACK,And look through moonlight at the silenced wagons.
JACK,"Yet we have lives to balance our regret,"
JACK,Can turn to other things.
JACK,"Now in the moonlight we can move away,"
JACK,While he is left staring upon the stark
JACK,Arrangement of the wagons leaning earthward:
JACK,"The simple blood that cannot name its lack,"
JACK,"But knows the world has fallen out of reason,"
JACK,"That it is autumn, and no laborer comes."
JUST LYING ON THE GRASS AT BLACKWATER,I think sometimes of the possible glamour of death—
JUST LYING ON THE GRASS AT BLACKWATER,that it might be wonderful to be
JUST LYING ON THE GRASS AT BLACKWATER,lost and happy inside the green grass—
JUST LYING ON THE GRASS AT BLACKWATER,or to be the green grass!—
JUST LYING ON THE GRASS AT BLACKWATER,"or, maybe the pink rose, or the blue iris,"
JUST LYING ON THE GRASS AT BLACKWATER,"or the affable daisy, or the twirled vine"
JUST LYING ON THE GRASS AT BLACKWATER,looping its way skyward—that it might be perfectly peaceful
JUST LYING ON THE GRASS AT BLACKWATER,"to be the shining lake, or the hurrying, athletic river,"
JUST LYING ON THE GRASS AT BLACKWATER,or the dark shoulders of the trees
JUST LYING ON THE GRASS AT BLACKWATER,where the thrush each evening weeps himself into an ecstasy.
JUST LYING ON THE GRASS AT BLACKWATER,"I lie down in the fields of goldenrod, and everlasting."
JUST LYING ON THE GRASS AT BLACKWATER,Who could find me?
JUST LYING ON THE GRASS AT BLACKWATER,My thoughts simplify. I have not done a thousand things
JUST LYING ON THE GRASS AT BLACKWATER,"or a hundred things but, perhaps, a few."
JUST LYING ON THE GRASS AT BLACKWATER,As for wondering about answers that are not available except
JUST LYING ON THE GRASS AT BLACKWATER,"in books, though all my childhood I was sent there"
JUST LYING ON THE GRASS AT BLACKWATER,"to find them, I have learned"
JUST LYING ON THE GRASS AT BLACKWATER,to leave all that behind
JUST LYING ON THE GRASS AT BLACKWATER,"as in summer I take off my shoes and my socks,"
JUST LYING ON THE GRASS AT BLACKWATER,"my jacket, my hat, and go on"
JUST LYING ON THE GRASS AT BLACKWATER,"happier, through the fields. The little sparrow"
JUST LYING ON THE GRASS AT BLACKWATER,with the pink beak
JUST LYING ON THE GRASS AT BLACKWATER,"calls out, over and over, so simply—not to me"
JUST LYING ON THE GRASS AT BLACKWATER,but to the whole world. All afternoon
JUST LYING ON THE GRASS AT BLACKWATER,"I grow wiser, listening to him,"
JUST LYING ON THE GRASS AT BLACKWATER,"soft, small, nameless fellow at the top of some weed,"
JUST LYING ON THE GRASS AT BLACKWATER,"enjoying his life. If you can sing, do it. If not,"
JUST LYING ON THE GRASS AT BLACKWATER,"even silence can feel, to the world, like happiness,"
JUST LYING ON THE GRASS AT BLACKWATER,"like praise,"
JUST LYING ON THE GRASS AT BLACKWATER,from the pool of shade you have found beneath the everlasting.
LAST DAYS,Things are
LAST DAYS,changing; things are starting to
LAST DAYS,"spin, snap, fly off into"
LAST DAYS,the blue sleeve of the long
LAST DAYS,afternoon. Oh and ooh
LAST DAYS,come whistling out of the perished mouth
LAST DAYS,"of the grass, as things"
LAST DAYS,"turn soft, boil back"
LAST DAYS,"into substance and hue. As everything,"
LAST DAYS,"forgetting its own enchantment, whispers:"
LAST DAYS,I too love oblivion why not it is full
LAST DAYS,"of second chances. Now,"
LAST DAYS,hiss the bright curls of the leaves. Now!
LAST DAYS,booms the muscle of the wind
LEARNING ABOUT THE INDIANS,"He danced in feathers, with paint across his nose."
LEARNING ABOUT THE INDIANS,"Thump, thump went the drum, and bumped our blood,"
LEARNING ABOUT THE INDIANS,And sent a strange vibration through the mind.
LEARNING ABOUT THE INDIANS,"White Eagle, he was called, or Mr. White,"
LEARNING ABOUT THE INDIANS,"And he strutted for money now, in schoolrooms built"
LEARNING ABOUT THE INDIANS,"On Ohio’s plains, surrounded by the graves"
LEARNING ABOUT THE INDIANS,"Of all of our fathers, but more of his than ours."
LEARNING ABOUT THE INDIANS,Our teachers called it Extracurricular.
LEARNING ABOUT THE INDIANS,"We called it fun. And as for Mr. White,"
LEARNING ABOUT THE INDIANS,"Changed back to a shabby salesman’s suit, he called it"
LEARNING ABOUT THE INDIANS,"Nothing at all as he packed his drums, and drove,"
LEARNING ABOUT THE INDIANS,"Tires screeching, out of the schoolyard into the night."
LINGERING IN HAPPINESS,"After rain after many days without rain,"
LINGERING IN HAPPINESS,"it stays cool, private and cleansed, under the trees,"
LINGERING IN HAPPINESS,"and the dampness there, married now to gravity,"
LINGERING IN HAPPINESS,"falls branch to branch, leaf to leaf, down to the ground"
LINGERING IN HAPPINESS,"where it will disappear—but not, of course, vanish"
LINGERING IN HAPPINESS,"except to our eyes. The roots of the oaks will have their share,"
LINGERING IN HAPPINESS,"and the white threads of the grasses, and the cushion of moss;"
LINGERING IN HAPPINESS,"a few drops, round as pearls, will enter the mole’s tunnel;"
LINGERING IN HAPPINESS,"and soon so many small stones, buried for a thousand years,"
LINGERING IN HAPPINESS,will feel themselves being touched.
LITTLE OWL WHO LIVES IN THE ORCHARD,"His beak could open a bottle,"
LITTLE OWL WHO LIVES IN THE ORCHARD,and his eyes—when he lifts their soft lids—
LITTLE OWL WHO LIVES IN THE ORCHARD,go on reading something
LITTLE OWL WHO LIVES IN THE ORCHARD,just beyond your shoulder—
LITTLE OWL WHO LIVES IN THE ORCHARD,"Blake, maybe,"
LITTLE OWL WHO LIVES IN THE ORCHARD,or the Book of Revelation.
LITTLE OWL WHO LIVES IN THE ORCHARD,Never mind that he eats only
LITTLE OWL WHO LIVES IN THE ORCHARD,"the black-smocked crickets,"
LITTLE OWL WHO LIVES IN THE ORCHARD,and dragonflies if they happen
LITTLE OWL WHO LIVES IN THE ORCHARD,"to be out late over the ponds, and of course"
LITTLE OWL WHO LIVES IN THE ORCHARD,the occasional festal mouse.
LITTLE OWL WHO LIVES IN THE ORCHARD,Never mind that he is only a memo
LITTLE OWL WHO LIVES IN THE ORCHARD,from the offices of fear—
LITTLE OWL WHO LIVES IN THE ORCHARD,it’s not size but surge that tells us
LITTLE OWL WHO LIVES IN THE ORCHARD,"when we’re in touch with something real,"
LITTLE OWL WHO LIVES IN THE ORCHARD,and when I hear him in the orchard
LITTLE OWL WHO LIVES IN THE ORCHARD,fluttering
LITTLE OWL WHO LIVES IN THE ORCHARD,down the little aluminum
LITTLE OWL WHO LIVES IN THE ORCHARD,ladder of his scream—
LITTLE OWL WHO LIVES IN THE ORCHARD,"when I see his wings open, like two black ferns,"
LITTLE OWL WHO LIVES IN THE ORCHARD,a flurry of palpitations
LITTLE OWL WHO LIVES IN THE ORCHARD,as cold as sleet
LITTLE OWL WHO LIVES IN THE ORCHARD,rackets across the marshlands
LITTLE OWL WHO LIVES IN THE ORCHARD,"of my heart,"
LITTLE OWL WHO LIVES IN THE ORCHARD,like a wild spring day.
LITTLE OWL WHO LIVES IN THE ORCHARD,"Somewhere in the universe,"
LITTLE OWL WHO LIVES IN THE ORCHARD,"in the gallery of important things,"
LITTLE OWL WHO LIVES IN THE ORCHARD,"the babyish owl, ruffled and rakish,"
LITTLE OWL WHO LIVES IN THE ORCHARD,sits on its pedestal.
LITTLE OWL WHO LIVES IN THE ORCHARD,"Dear, dark dapple of plush!"
LITTLE OWL WHO LIVES IN THE ORCHARD,"A message, reads the label,"
LITTLE OWL WHO LIVES IN THE ORCHARD,from that mysterious conglomerate:
LITTLE OWL WHO LIVES IN THE ORCHARD,Oblivion and Co.
LITTLE OWL WHO LIVES IN THE ORCHARD,The hooked head stares
LITTLE OWL WHO LIVES IN THE ORCHARD,"from its blouse of dark, feathery lace."
LITTLE OWL WHO LIVES IN THE ORCHARD,It could be a valentine.
LONELINESS,I too have known loneliness.
LONELINESS,I too have known what it is to feel
LONELINESS,"misunderstood,"
LONELINESS,"rejected, and suddenly"
LONELINESS,not at all beautiful.
LONELINESS,"Oh, mother earth,"
LONELINESS,"your comfort is great, your arms never withhold."
LONELINESS,It has saved my life to know this.
LONELINESS,"Your rivers flowing, your roses opening in the morning."
LONELINESS,"Oh, motions of tenderness!"
MINK,"A mink,"
MINK,"jointless as heat, was"
MINK,tip-toeing along
MINK,"the edge of the creek,"
MINK,"which was still in its coat of snow,"
MINK,yet singing—I could hear it!—
MINK,the old song
MINK,of brightness.
MINK,"It was one of those places,"
MINK,"turning and twisty,"
MINK,"that Ruskin might have painted, though"
MINK,he didn’t. And there were trees
MINK,"leaning this way and that,"
MINK,seed-beaded
MINK,"buckthorn mostly, but at the moment"
MINK,"no bird, the only voice"
MINK,"that of the covered water—like a long,"
MINK,"unknotted thread, it kept"
MINK,slipping through. The mink
MINK,had a hunger in him
MINK,"bigger than his shadow, which was gathered"
MINK,like a sheet of darkness under his
MINK,neat feet which were busy
MINK,making dents in the snow. He sniffed
MINK,slowly and thoroughly in all
MINK,"four directions, as though"
MINK,"it was a prayer to the whole world, as far"
MINK,as he could capture its beautiful
MINK,"smells—the iron of the air, the blood"
MINK,"of necessity. Maybe, for him, even"
MINK,the pink sun fading away to the edge
MINK,"of the world had a smell,"
MINK,"of roses, or of terror, who knows"
MINK,what his keen nose was
MINK,"finding out. For me, it was the gift of the winter"
MINK,"to see him. Once, like a hot, dark-brown pillar,"
MINK,"he stood up—and then he ran forward, and was gone."
MINK,I stood awhile and then walked on
MINK,"over the white snow: the terrible, gleaming"
MINK,"loneliness. It took me, I suppose,"
MINK,something like six more weeks to reach
MINK,"finally a patch of green, I paused so often"
MINK,"to be glad, and grateful, and even then carefully across"
MINK,"the vast, deep woods I kept looking back."
MORNING AT BLACKWATER,It’s almost dawn
MORNING AT BLACKWATER,and the usual half-miracles begin
MORNING AT BLACKWATER,within my own personal body as the light
MORNING AT BLACKWATER,enters the gates of the east and climbs
MORNING AT BLACKWATER,"into the fields of the sky, and the birds lift"
MORNING AT BLACKWATER,their very unimportant heads from the branches
MORNING AT BLACKWATER,"and begin to sing; and the insects too,"
MORNING AT BLACKWATER,"and the rustling leaves, and even"
MORNING AT BLACKWATER,"that most common of earthly things, the grass,"
MORNING AT BLACKWATER,can’t let it begin—another morning—without
MORNING AT BLACKWATER,"making some comment of gladness, respiring softly"
MORNING AT BLACKWATER,with the honey of their green bodies; and the white
MORNING AT BLACKWATER,"blossoms of the swamp honeysuckle, hovering just where"
MORNING AT BLACKWATER,"the path and the pond almost meet,"
MORNING AT BLACKWATER,shake from the folds of their bodies
MORNING AT BLACKWATER,"such happiness it enters the air as fragrance,"
MORNING AT BLACKWATER,the day’s first pale and elegant affirmation.
MORNING AT BLACKWATER,"And the old gods liked so well, they say,"
MORNING AT BLACKWATER,the sweet odor of prayer.
MORNING GLORIES,Blue and dark-blue
MORNING GLORIES,rose and deepest rose
MORNING GLORIES,white and pink they
MORNING GLORIES,are everywhere in the diligent
MORNING GLORIES,cornfield rising and swaying
MORNING GLORIES,in their reliable
MORNING GLORIES,finery in the little
MORNING GLORIES,fling of their bodies their
MORNING GLORIES,gear and tackle
MORNING GLORIES,all caught up in the cornstalks.
MORNING GLORIES,The reaper’s story is the story
MORNING GLORIES,of endless work of
MORNING GLORIES,work careful and heavy but the
MORNING GLORIES,reaper cannot
MORNING GLORIES,separate them out there they
MORNING GLORIES,are in the story of his life
MORNING GLORIES,bright random useless
MORNING GLORIES,year after year
MORNING GLORIES,taken with the serious tons
MORNING GLORIES,weeds without value humorous
MORNING GLORIES,beautiful weeds.
MORNING IN A NEW LAND,In trees still dripping night some nameless birds
MORNING IN A NEW LAND,"Woke, shook out their arrowy wings, and sang,"
MORNING IN A NEW LAND,"Slowly, like finches sifting through a dream."
MORNING IN A NEW LAND,"The pink sun fell, like glass, into the fields."
MORNING IN A NEW LAND,"Two chestnuts, and a dapple gray,"
MORNING IN A NEW LAND,"Their shoulders wet with light, their dark hair streaming,"
MORNING IN A NEW LAND,"Climbed the hill. The last mist fell away,"
MORNING IN A NEW LAND,"And under the trees, beyond time’s brittle drift,"
MORNING IN A NEW LAND,I stood like Adam in his lonely garden
MORNING IN A NEW LAND,"On that first morning, shaken out of sleep,"
MORNING IN A NEW LAND,"Rubbing his eyes, listening, parting the leaves,"
MORNING IN A NEW LAND,"Like tissue on some vast, incredible gift."
MORNINGS AT BLACKWATER,"For years, every morning, I drank"
MORNINGS AT BLACKWATER,from Blackwater Pond.
MORNINGS AT BLACKWATER,"It was flavored with oak leaves and also, no doubt,"
MORNINGS AT BLACKWATER,the feet of ducks.
MORNINGS AT BLACKWATER,And always it assuaged me
MORNINGS AT BLACKWATER,from the dry bowl of the very far past.
MORNINGS AT BLACKWATER,What I want to say is
MORNINGS AT BLACKWATER,"that the past is the past,"
MORNINGS AT BLACKWATER,"and the present is what your life is,"
MORNINGS AT BLACKWATER,and you are capable
MORNINGS AT BLACKWATER,"of choosing what that will be,"
MORNINGS AT BLACKWATER,darling citizen.
MORNINGS AT BLACKWATER,"So come to the pond,"
MORNINGS AT BLACKWATER,"or the river of your imagination,"
MORNINGS AT BLACKWATER,"or the harbor of your longing,"
MORNINGS AT BLACKWATER,and put your lips to the world.
MORNINGS AT BLACKWATER,And live
MORNINGS AT BLACKWATER,your life.
NIGHT FLIGHT,"Traveling at thirty thousand feet, we see"
NIGHT FLIGHT,"How much of earth still lies in wilderness,"
NIGHT FLIGHT,Till terminals occur like miracles
NIGHT FLIGHT,To civilize the paralyzing dark.
NIGHT FLIGHT,"Buckled for landing to a tilting chair,"
NIGHT FLIGHT,I think: if miracle or accident
NIGHT FLIGHT,"Should send us on across the upper air,"
NIGHT FLIGHT,"How many miles, or nights, or years to go"
NIGHT FLIGHT,"Before the mind, with its huge ego paling,"
NIGHT FLIGHT,"Before the heart, all expectation spent,"
NIGHT FLIGHT,Should read the meaning of the scene below?
NIGHT FLIGHT,But now already the loved ones gather
NIGHT FLIGHT,"Under the dome of welcome, as we glide"
NIGHT FLIGHT,"Over the final jutting mountainside,"
NIGHT FLIGHT,"Across the suburbs tangled in their lights,"
NIGHT FLIGHT,And settled softly on the earth once more
NIGHT FLIGHT,Rise in the fierce assumption of our lives—
NIGHT FLIGHT,"Discarding smoothly, as we disembark,"
NIGHT FLIGHT,All thoughts that held us wiser for a moment
NIGHT FLIGHT,"Up there alone, in the impartial dark."
NO VOYAGE,"I wake earlier, now that the birds have come"
NO VOYAGE,And sing in the unfailing trees.
NO VOYAGE,On a cot by an open window
NO VOYAGE,"I lie like land used up, while spring unfolds."
NO VOYAGE,"Now of all voyagers I remember, who among them"
NO VOYAGE,Did not board ship with grief among their maps?—
NO VOYAGE,"Till it seemed men never go somewhere, they only leave"
NO VOYAGE,"Wherever they are, when the dying begins."
NO VOYAGE,"For myself, I find my wanting life"
NO VOYAGE,Implores no novelty and no disguise of distance;
NO VOYAGE,"Where, in what country, might I put down these thoughts,"
NO VOYAGE,Who still am citizen of this fallen city?
NO VOYAGE,"On a cot by an open window, I lie and remember"
NO VOYAGE,While the birds in the trees sing of the circle of time.
NO VOYAGE,"Let the dying go on, and let me, if I can,"
